elevation,lulc,ndvi,ndwi,river,road,lithology,lithology_boundary,fault,twi,spi,tri,roughness,slope,aspect,profile,planform,Landslide
0.093999997,0.697000027,0.529999971,0.683000028,0.98299998,0.200000003,0.824999988,83.72000122,0.745999992,1.113000035,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,0.834999979,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,1.268000007,0.104000002,0.824999988,83.72000122,1.131999969,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,1.029999971,0
0.093999997,0.697000027,0.529999971,0.683000028,0.98299998,0.200000003,0.824999988,83.72000122,0.745999992,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,0.940999985,0
1.106999993,0.697000027,1.131999969,1.434000015,0.444000006,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,0.832000017,0.940999985,0
1.106999993,2.532000065,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,1.047000051,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,1.27699995,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,0.98299998,2.359999895,1.677999973,83.72000122,1.138000011,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,0
0.391000003,0.697000027,0.529999971,1.434000015,0.444000006,2.359999895,0.824999988,83.72000122,1.138000011,0.907999992,0.750999987,1.120000005,1.159999967,1.289999962,0.980000019,0.834999979,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,0.625,0.200000003,0.824999988,83.72000122,1.138000011,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,0.940999985,0
69.86799622,0.697000027,0.529999971,0.683000028,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,0.907999992,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,0.834999979,0.940999985,0
0.391000003,0.736999989,0.529999971,0.683000028,1.268000007,0.200000003,0.824999988,83.72000122,0.745999992,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.838999987,1.110000014,1.029999971,0
0.391000003,0.736999989,0.529999971,0.683000028,0.444000006,0.200000003,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.838999987,0.832000017,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,0.625,2.359999895,0.824999988,83.72000122,1.138000011,1.047000051,0.864000022,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,1.651000023,0
1.106999993,0.697000027,0.529999971,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,0.907999992,1.080000043,1.120000005,1.159999967,0.879999995,0.980000019,1.110000014,0.940999985,0
0.093999997,0.697000027,1.131999969,0.683000028,1.268000007,0.200000003,0.824999988,83.72000122,1.138000011,0.907999992,0.750999987,1.120000005,1.159999967,1.850000024,0.980000019,0.832000017,1.029999971,0
0.391000003,0.697000027,0.529999971,1.434000015,1.268000007,0.372000009,0.824999988,83.72000122,1.031000018,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,1.029999971,0
0.391000003,2.532000065,2.611999989,1.434000015,0.625,2.359999895,1.677999973,83.72000122,1.138000011,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,1.029999971,0
1.106999993,6.56799984,1.131999969,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,1.047000051,0.864000022,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,1.268000007,2.359999895,0.824999988,83.72000122,1.131999969,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.838999987,1.27699995,1.029999971,0
1.106999993,0.697000027,1.131999969,0.683000028,1.268000007,2.359999895,1.677999973,83.72000122,0.745999992,0.907999992,0.864000022,1.120000005,2.119999886,1.850000024,0.652999997,1.27699995,1.651000023,0
0.391000003,0.697000027,0.529999971,0.444999993,1.026000023,0.200000003,0.824999988,7.78000021,0.745999992,1.047000051,0.750999987,1.120000005,1.159999967,0.879999995,0.838999987,0.832000017,0.940999985,0
1.106999993,0.697000027,0.529999971,0.683000028,0.444000006,0.200000003,0.824999988,83.72000122,1.031000018,1.047000051,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,0.832000017,0.940999985,0
0.093999997,0.697000027,1.131999969,1.434000015,0.625,0.200000003,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,0.834999979,0.940999985,0
1.106999993,0.697000027,0.529999971,0.683000028,0.98299998,0.200000003,0.824999988,83.72000122,1.131999969,1.090999961,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,0.834999979,0.940999985,0
1.106999993,0.697000027,0.529999971,0.444999993,1.268000007,0.104000002,0.824999988,83.72000122,1.031000018,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,1.217000008,0.834999979,1.029999971,0
0.391000003,0.697000027,1.131999969,0.683000028,1.268000007,2.359999895,0.824999988,83.72000122,1.131999969,1.090999961,0.750999987,1.120000005,0.839999974,0.879999995,0.652999997,1.110000014,0.940999985,0
1.106999993,0.697000027,0.529999971,0.444999993,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.810000002,1.080000043,1.120000005,1.159999967,1.289999962,1.217000008,1.27699995,1.029999971,0
0.391000003,0.736999989,1.131999969,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,1.138000011,1.090999961,0.750999987,1.120000005,1.159999967,0.879999995,0.838999987,1.110000014,1.029999971,0
0.391000003,2.224999905,1.131999969,1.434000015,0.98299998,0.104000002,1.677999973,83.72000122,0.745999992,1.113000035,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,0.832000017,1.029999971,0
1.106999993,0.697000027,0.529999971,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,0.652999997,0.832000017,1.029999971,0
0.391000003,0.697000027,0.529999971,1.434000015,1.268000007,0.372000009,0.824999988,83.72000122,1.031000018,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,1.029999971,0
0.391000003,0.697000027,0.529999971,0.683000028,0.98299998,0.104000002,0.824999988,83.72000122,0.745999992,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,0
0.391000003,2.532000065,2.005000114,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.838999987,1.110000014,0.940999985,0
1.106999993,0.697000027,1.131999969,1.434000015,1.268000007,0.104000002,1.677999973,83.72000122,0.745999992,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.217000008,0.832000017,0.940999985,0
0.391000003,0.697000027,1.131999969,0.683000028,0.625,0.104000002,1.677999973,83.72000122,0.745999992,0.907999992,0.750999987,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,0
69.86799622,0.697000027,0.529999971,1.434000015,1.026000023,2.359999895,0,83.72000122,1.031000018,1.090999961,0.750999987,1.120000005,1.159999967,1.289999962,0.652999997,1.110000014,1.029999971,0
1.106999993,0.697000027,0.529999971,0.683000028,1.268000007,0.200000003,0.824999988,83.72000122,1.031000018,0.810000002,1.230000019,1.120000005,1.159999967,1.850000024,1.217000008,0.832000017,1.029999971,0
0.391000003,0.697000027,0.529999971,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.131999969,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,0.838999987,1.110000014,0.940999985,0
0.093999997,0.697000027,0.529999971,0.683000028,0.625,0.104000002,1.677999973,83.72000122,1.138000011,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,0
1.965999961,2.532000065,2.005000114,1.434000015,1.026000023,0.200000003,0.824999988,4.440000057,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,0.832000017,0.940999985,0
1.965999961,0.697000027,2.005000114,1.434000015,1.268000007,2.359999895,0.824999988,4.059999943,1.138000011,0.810000002,0.864000022,1.120000005,1.159999967,0.879999995,0.885999978,0.834999979,1.029999971,0
1.106999993,0.697000027,0.529999971,0.444999993,1.268000007,0.372000009,0.824999988,4.059999943,1.031000018,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,1.029999971,0
0.391000003,0.697000027,0.529999971,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,0
0.093999997,0.697000027,0.529999971,0.444999993,1.268000007,0.104000002,0.824999988,83.72000122,0.745999992,0.810000002,1.230000019,1.120000005,1.159999967,1.289999962,0.980000019,0.834999979,0.940999985,0
0.391000003,0.697000027,0.529999971,0.683000028,0.98299998,0.104000002,0.824999988,7.78000021,1.131999969,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,0.940999985,0
0.391000003,0.697000027,0.529999971,1.434000015,0.625,2.359999895,0.824999988,83.72000122,1.031000018,1.090999961,0.750999987,1.120000005,1.159999967,1.289999962,1.217000008,0.834999979,1.029999971,0
1.965999961,0.697000027,0.529999971,0.683000028,1.268000007,0.372000009,0.824999988,83.72000122,1.031000018,0.810000002,1.230000019,1.120000005,2.119999886,1.850000024,0.838999987,1.110000014,1.651000023,0
0.093999997,0.697000027,0.529999971,0.444999993,1.268000007,0.104000002,0.824999988,83.72000122,1.138000011,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,1.217000008,1.110000014,1.029999971,0
1.965999961,2.532000065,2.611999989,1.434000015,0.98299998,0.372000009,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,0.940999985,0
0.391000003,0.697000027,2.005000114,0.683000028,1.268000007,0.372000009,1.677999973,83.72000122,1.138000011,1.047000051,1.080000043,1.120000005,0.839999974,0.879999995,0.838999987,0.832000017,0.940999985,0
1.106999993,2.532000065,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,0.907999992,0.750999987,2.019999981,2.119999886,1.850000024,1.383000016,0.834999979,0.940999985,0
1.106999993,0.697000027,1.131999969,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,1.029999971,0
0.093999997,0.697000027,0.529999971,0.683000028,1.026000023,0.104000002,1.677999973,83.72000122,0.745999992,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,0.832000017,1.029999971,0
0.093999997,0.697000027,0.529999971,1.434000015,0.444000006,0.200000003,0.824999988,83.72000122,1.131999969,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,1.029999971,0
0.093999997,0.697000027,0.529999971,0.444999993,1.268000007,0.104000002,0.824999988,83.72000122,1.031000018,0.907999992,1.230000019,1.120000005,1.159999967,1.289999962,1.217000008,0.832000017,1.651000023,0
1.106999993,0.697000027,1.131999969,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,1.138000011,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,0
1.106999993,2.532000065,2.611999989,1.434000015,0.98299998,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,0.750999987,1.120000005,1.159999967,0.879999995,0.980000019,0.832000017,0.940999985,0
1.106999993,0.697000027,0.529999971,0.683000028,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,1.029999971,0
0.093999997,0.697000027,1.131999969,0.683000028,1.268000007,0.104000002,1.677999973,83.72000122,0.745999992,1.113000035,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,1.029999971,0
1.965999961,2.224999905,2.005000114,1.434000015,1.268000007,0.200000003,1.677999973,83.72000122,0.745999992,0.907999992,1.230000019,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,1.029999971,0
0.391000003,0.697000027,1.131999969,1.434000015,0.98299998,2.359999895,1.677999973,83.72000122,0.745999992,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,1.217000008,1.110000014,1.029999971,0
0.093999997,0.697000027,0.529999971,0.683000028,0.98299998,0.200000003,1.677999973,83.72000122,0.745999992,1.047000051,0.864000022,1.120000005,1.159999967,1.850000024,0.838999987,1.27699995,0.940999985,0
0.391000003,0.697000027,0.529999971,1.434000015,0.98299998,0.372000009,0.824999988,83.72000122,1.031000018,1.113000035,1.080000043,1.120000005,1.159999967,0.879999995,0.980000019,0.832000017,1.029999971,0
0.093999997,0.697000027,1.131999969,0.683000028,0.444000006,0.104000002,0.824999988,83.72000122,1.131999969,0.810000002,0.864000022,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,1.029999971,0
0.391000003,0.697000027,0.529999971,0.444999993,1.268000007,0.104000002,0.824999988,83.72000122,1.031000018,1.047000051,0.864000022,1.120000005,1.159999967,1.289999962,0.652999997,0.832000017,1.029999971,0
1.106999993,0.697000027,0.529999971,0.683000028,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,0.810000002,1.080000043,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,1.029999971,0
0.391000003,0.697000027,1.131999969,0.683000028,0.444000006,2.359999895,0.824999988,83.72000122,0.745999992,0.907999992,0.750999987,1.120000005,1.159999967,1.289999962,1.383000016,0.834999979,0.940999985,0
0.391000003,0.736999989,1.131999969,1.434000015,0.98299998,2.359999895,1.677999973,83.72000122,0.745999992,1.113000035,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,1.029999971,0
0.391000003,2.224999905,1.131999969,1.434000015,0.98299998,0.200000003,0.824999988,83.72000122,1.131999969,1.090999961,1.080000043,1.120000005,1.159999967,0.879999995,0.838999987,0.832000017,0.940999985,0
1.106999993,0.697000027,1.131999969,1.434000015,1.268000007,0.104000002,1.677999973,83.72000122,0.745999992,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,0
1.965999961,0.697000027,0.529999971,1.434000015,0.98299998,0.372000009,0.824999988,83.72000122,1.138000011,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.652999997,0.834999979,1.029999971,0
0.391000003,0.697000027,0.529999971,1.434000015,0.625,0.104000002,0.824999988,83.72000122,1.031000018,1.090999961,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,1.029999971,0
0.391000003,0.697000027,1.131999969,0.683000028,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,0.940999985,0
1.965999961,2.532000065,1.131999969,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,1.080000043,2.019999981,2.119999886,1.850000024,1.217000008,0.832000017,1.029999971,1
1.965999961,2.224999905,5.06099987,1.434000015,0.98299998,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,1.029999971,1
1.965999961,0.697000027,1.131999969,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.850000024,0.980000019,1.110000014,1.029999971,1
1.965999961,0.697000027,0.529999971,0.683000028,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,1.090999961,1.080000043,0.860000014,0.839999974,0.879999995,1.383000016,1.110000014,0.940999985,1
1.965999961,2.224999905,2.611999989,1.434000015,0.98299998,0.372000009,0.824999988,83.72000122,0.745999992,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,0.940999985,1
69.86799622,2.224999905,2.611999989,1.434000015,0.98299998,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,1
69.86799622,0.736999989,0.529999971,0.683000028,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,0.810000002,0.864000022,1.120000005,0.839999974,0.879999995,0.838999987,1.27699995,1.029999971,1
1.965999961,0.697000027,0.529999971,0.683000028,0.625,2.359999895,0.824999988,83.72000122,1.031000018,1.113000035,1.080000043,0.860000014,0.839999974,0.879999995,0.885999978,1.110000014,0.940999985,1
1.106999993,0.697000027,0.529999971,0.683000028,1.026000023,2.359999895,0.824999988,83.72000122,0.745999992,1.047000051,1.080000043,0.860000014,0.839999974,0.709999979,1.383000016,1.27699995,1.029999971,1
1.106999993,0.697000027,1.131999969,0.683000028,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,1.047000051,1.080000043,0.860000014,0.839999974,0.709999979,0.885999978,0.834999979,0.940999985,1
1.965999961,0.697000027,2.005000114,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.138000011,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,0.832000017,0.940999985,1
1.106999993,2.532000065,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.031000018,1.090999961,0.750999987,2.019999981,2.119999886,1.850000024,1.217000008,0.834999979,1.09800005,1
1.106999993,0.697000027,1.131999969,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,0.860000014,0.839999974,0.709999979,1.383000016,1.110000014,1.029999971,1
1.106999993,2.224999905,2.005000114,1.434000015,0.625,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,1.080000043,0.860000014,0.839999974,0.879999995,1.383000016,1.110000014,0.940999985,1
1.106999993,2.224999905,5.06099987,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,0.745999992,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,1.029999971,1
1.965999961,2.224999905,2.005000114,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,1.090999961,1.080000043,0.860000014,0.839999974,0.879999995,1.383000016,0.832000017,0.940999985,1
1.106999993,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,0.745999992,0.907999992,1.080000043,0.860000014,1.159999967,0.879999995,1.383000016,1.27699995,0.940999985,1
1.106999993,0.697000027,1.131999969,1.434000015,0.98299998,2.359999895,1.677999973,83.72000122,1.138000011,1.090999961,1.080000043,0.400000006,0.560000002,0.709999979,1.217000008,1.110000014,0.940999985,1
1.106999993,2.532000065,2.005000114,1.434000015,1.026000023,2.359999895,1.677999973,83.72000122,0.745999992,1.113000035,1.080000043,0.860000014,0.839999974,0.879999995,0.885999978,1.110000014,0.940999985,1
1.965999961,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,0.864000022,1.120000005,1.159999967,0.879999995,1.383000016,0.832000017,1.029999971,1
1.965999961,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,0.864000022,2.019999981,2.119999886,1.850000024,1.383000016,1.27699995,1.029999971,1
1.965999961,2.224999905,2.611999989,1.434000015,1.026000023,2.359999895,1.677999973,83.72000122,1.138000011,0.907999992,1.080000043,0.860000014,0.839999974,0.879999995,0.885999978,0.832000017,0.940999985,1
0.391000003,0.697000027,0.529999971,0.683000028,0.98299998,2.359999895,1.677999973,83.72000122,1.138000011,1.090999961,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,0.832000017,0.940999985,1
1.106999993,0.697000027,1.131999969,0.683000028,1.268000007,2.359999895,1.677999973,83.72000122,1.138000011,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,1
1.106999993,0.697000027,1.131999969,0.683000028,0.98299998,2.359999895,1.677999973,7.78000021,1.031000018,1.113000035,0.750999987,1.120000005,1.159999967,0.879999995,1.217000008,1.110000014,0.940999985,1
1.106999993,2.532000065,2.005000114,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,1.031000018,1.047000051,0.864000022,0.860000014,0.839999974,0.709999979,0.652999997,1.27699995,1.029999971,1
1.965999961,2.224999905,1.131999969,1.434000015,1.026000023,2.359999895,1.677999973,83.72000122,1.131999969,1.047000051,1.080000043,1.120000005,1.159999967,0.879999995,0.838999987,1.27699995,1.029999971,1
1.965999961,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.031000018,1.113000035,1.080000043,1.120000005,1.159999967,0.879999995,0.980000019,0.832000017,0.940999985,1
1.965999961,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.031000018,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.27699995,0.940999985,1
1.965999961,2.532000065,2.005000114,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.031000018,1.113000035,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,1
1.965999961,2.532000065,2.611999989,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.031000018,1.113000035,1.080000043,1.120000005,1.159999967,1.850000024,0.838999987,1.27699995,1.029999971,1
1.106999993,2.224999905,2.611999989,1.434000015,0.625,2.359999895,1.677999973,83.72000122,1.031000018,1.090999961,1.080000043,1.120000005,1.159999967,1.289999962,0.980000019,1.110000014,0.940999985,1
1.106999993,2.224999905,2.611999989,1.434000015,1.026000023,2.359999895,1.677999973,83.72000122,1.031000018,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,0.940999985,1
1.106999993,0.697000027,5.06099987,1.434000015,1.268000007,2.359999895,1.677999973,83.72000122,1.031000018,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,0.652999997,0.832000017,1.651000023,1
1.106999993,2.224999905,5.06099987,1.434000015,0.625,2.359999895,1.677999973,7.78000021,1.031000018,0.907999992,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,1.110000014,1.029999971,1
1.106999993,2.224999905,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.031000018,1.113000035,0.864000022,1.120000005,1.159999967,1.289999962,0.885999978,0.832000017,1.029999971,1
1.106999993,0.697000027,0.529999971,0.683000028,0.444000006,2.359999895,1.677999973,83.72000122,1.138000011,1.113000035,1.080000043,0.860000014,0.839999974,0.879999995,0.885999978,0.832000017,0.940999985,1
0.391000003,2.532000065,2.611999989,1.434000015,0.98299998,2.359999895,0.824999988,83.72000122,0.745999992,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.885999978,1.27699995,0.940999985,1
0.391000003,0.697000027,0.529999971,1.434000015,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,0.810000002,1.230000019,1.120000005,1.159999967,1.850000024,1.383000016,1.27699995,1.029999971,1
0.391000003,2.532000065,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,0.745999992,1.047000051,1.080000043,1.120000005,1.159999967,1.289999962,0.652999997,1.110000014,0.940999985,1
0.391000003,0.697000027,0.529999971,0.683000028,0.444000006,2.359999895,0.824999988,83.72000122,1.131999969,1.113000035,1.080000043,1.120000005,1.159999967,1.850000024,1.217000008,0.834999979,0.940999985,1
1.106999993,0.697000027,0.529999971,0.444999993,1.268000007,2.359999895,0.824999988,83.72000122,0.745999992,1.047000051,1.080000043,0.400000006,0.560000002,0.709999979,0.652999997,1.110000014,0.940999985,1
1.965999961,2.532000065,2.611999989,1.434000015,0.98299998,2.359999895,0.824999988,83.72000122,1.131999969,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,1.110000014,0.940999985,1
1.965999961,2.532000065,2.611999989,1.434000015,1.026000023,2.359999895,0.824999988,83.72000122,1.131999969,0.907999992,1.080000043,1.120000005,1.159999967,1.289999962,1.383000016,0.832000017,1.029999971,1
1.965999961,0.697000027,0.529999971,0.683000028,0.625,2.359999895,1.677999973,83.72000122,1.131999969,1.047000051,1.080000043,1.120000005,0.839999974,0.879999995,0.885999978,0.832000017,1.029999971,1
1.965999961,0.697000027,0.529999971,0.683000028,0.625,2.359999895,1.677999973,83.72000122,1.131999969,1.047000051,1.080000043,0.860000014,0.839999974,0.709999979,0.885999978,0.832000017,0.940999985,1
